Particle [HI] [CII] [OI] [CI] CO p-H2 o-H2 T_gas 
760 No No No No No No No ----Yes----
761 No No No No No No No ----Yes----
762 No No No No No No No ----Yes----
763 No No No No No No No ----Yes----
764 No No No No No No No ----Yes----
765 No No No No No No No ----Yes----
766 No No No No No No No ----Yes----
767 No No No No No No No ----Yes----
768 No No No No No No No ----Yes----
769 No No No No No No No ----Yes----
770 No No No No No No No ----Yes----
771 No No No No No No No ----Yes----
772 No No No No No No No ----Yes----
773 No No No No No No No ----Yes----
774 No No No No No No No ----Yes----
775 No No No No No No No ----Yes----
776 No No No No No No No ----Yes----
777 No No No No No No No ----Yes----
778 No No No No No No No ----Yes----
779 No No No No No No No ----Yes----
780 No No No No No No No ----Yes----
781 No No No No No No No ----Yes----
782 No No No No No No No ----Yes----
783 No No No No No No No ----Yes----
784 No No No No No No No ----Yes----
785 No No No No No No No ----Yes----
786 No No No No No No No ----Yes----
787 No No No No No No No ----Yes----
788 No No No No No No No ----Yes----
789 No No No No No No No ----Yes----
790 No No No No No No No ----Yes----
791 No No No No No No No ----Yes----
792 No No No No No No No ----Yes----
793 No No No No No No No ----Yes----
794 No No No No No No No ----Yes----
795 No No No No No No No ----Yes----
796 No No No No No No No ----Yes----
797 No No No No No No No ----Yes----
798 No No No No No No No ----Yes----
799 No No No No No No No ----Yes----
800 No No No No No No No ----Yes----
801 No No No No No No No ----Yes----
802 No No No No No No No ----Yes----
803 No No No No No No No ----Yes----
804 No No No No No No No ----Yes----
805 No No No No No No No ----Yes----
806 No No No No No No No ----Yes----
807 No No No No No No No ----Yes----
808 No No No No No No No ----Yes----
809 No No No No No No No ----Yes----
810 No No No No No No No ----Yes----
811 No No No No No No No ----Yes----
812 No No No No No No No ----Yes----
813 No No No No No No No ----Yes----
814 No No No No No No No ----Yes----
815 No No No No No No No ----Yes----
816 No No No No No No No ----Yes----
817 No No No No No No No ----Yes----
818 No No No No No No No ----Yes----
819 No No No No No No No ----Yes----
820 No No No No No No No ----Yes----
821 No No No No No No No ----Yes----
822 No No No No No No No ----Yes----
823 No No No No No No No ----Yes----
824 No No No No No No No ----Yes----
825 No No No No No No No ----Yes----
826 No No No No No No No ----Yes----
827 No No No No No No No ----Yes----
828 No No No No No No No ----Yes----
829 No No No No No No No ----Yes----
830 No No No No No No No ----Yes----
831 No No No No No No No ----Yes----
832 No No No No No No No ----Yes----
833 No No No No No No No ----Yes----
834 No No No No No No No ----Yes----
835 No No No No No No No ----Yes----
836 No No No No No No No ----Yes----
837 No No No No No No No ----Yes----
838 No No No No No No No ----Yes----
839 No No No No No No No ----Yes----
840 No No No No No No No ----Yes----
841 No No No No No No No ----Yes----
842 No No No No No No No ----Yes----
843 No No No No No No No ----Yes----
844 No No No No No No No ----Yes----
845 No No No No No No No ----Yes----
846 No No No No No No No ----Yes----
847 No No No No No No No ----Yes----
848 No No No No No No No ----Yes----
849 No No No No No No No ----Yes----
850 No No No No No No No ----Yes----
851 No No No No No No No ----Yes----
852 No No No No No No No ----Yes----
853 No No No No No No No ----Yes----
854 No No No No No No No ----Yes----
855 No No No No No No No ----Yes----
856 No No No No No No No ----Yes----
857 No No No No No No No ----Yes----
858 No No No No No No No ----Yes----
859 No No No No No No No ----Yes----
860 No No No No No No No ----Yes----
861 No No No No No No No ----Yes----
862 No No No No No No No ----Yes----
863 No No No No No No No ----Yes----
