Particle,n_H,n_g,T_gas,T_dust,chi,F_X
175,3.16228E+05,6.32456E-07,7.42394E+02,1.32978E+02,9.99972E+04,0.00000E+00
176,3.16228E+05,6.32456E-07,7.42394E+02,1.32978E+02,9.99972E+04,0.00000E+00
177,3.16228E+05,6.32456E-07,7.42394E+02,1.32978E+02,9.99971E+04,0.00000E+00
178,3.16228E+05,6.32456E-07,7.42394E+02,1.32978E+02,9.99971E+04,0.00000E+00
179,3.16228E+05,6.32456E-07,7.42394E+02,1.32978E+02,9.99971E+04,0.00000E+00
180,3.16228E+05,6.32456E-07,7.42394E+02,1.32978E+02,9.99970E+04,0.00000E+00
181,3.16228E+05,6.32456E-07,7.42394E+02,1.32978E+02,9.99970E+04,0.00000E+00
182,3.16228E+05,6.32456E-07,7.42394E+02,1.32978E+02,9.99970E+04,0.00000E+00
183,3.16228E+05,6.32456E-07,7.42393E+02,1.32978E+02,9.99967E+04,0.00000E+00
184,3.16228E+05,6.32456E-07,7.42392E+02,1.32978E+02,9.99964E+04,0.00000E+00
185,3.16228E+05,6.32456E-07,7.42391E+02,1.32978E+02,9.99961E+04,0.00000E+00
186,3.16228E+05,6.32456E-07,7.42391E+02,1.32978E+02,9.99958E+04,0.00000E+00
187,3.16228E+05,6.32456E-07,7.42390E+02,1.32978E+02,9.99955E+04,0.00000E+00
188,3.16228E+05,6.32456E-07,7.42389E+02,1.32978E+02,9.99952E+04,0.00000E+00
189,3.16228E+05,6.32456E-07,7.42388E+02,1.32978E+02,9.99949E+04,0.00000E+00
190,3.16228E+05,6.32456E-07,7.42388E+02,1.32977E+02,9.99946E+04,0.00000E+00
191,3.16228E+05,6.32456E-07,7.42387E+02,1.32977E+02,9.99943E+04,0.00000E+00
192,3.16228E+05,6.32456E-07,7.42386E+02,1.32977E+02,9.99940E+04,0.00000E+00
193,3.16228E+05,6.32456E-07,7.42385E+02,1.32977E+02,9.99937E+04,0.00000E+00
194,3.16228E+05,6.32456E-07,7.42385E+02,1.32977E+02,9.99934E+04,0.00000E+00
195,3.16228E+05,6.32456E-07,7.42384E+02,1.32977E+02,9.99931E+04,0.00000E+00
196,3.16228E+05,6.32456E-07,7.42383E+02,1.32977E+02,9.99928E+04,0.00000E+00
197,3.16228E+05,6.32456E-07,7.42383E+02,1.32977E+02,9.99925E+04,0.00000E+00
