Particle Photoelectic H2Form H2*Pumping H2Photodis CIPhotoion Cosmic-Rays Turbulence Chemistry Gas-Grain Coulomb Total
111 1.38657E-22 1.38709E-22 6.19494E-33 3.69902E-23 2.46308E-25 3.40547E-28 7.00000E-26 5.78444E-29 -1.90719E-25 0.00000E+00 3.14483E-22
112 1.38657E-22 1.38709E-22 6.19822E-33 3.69901E-23 2.46308E-25 3.40728E-28 7.00000E-26 5.78715E-29 -1.90719E-25 0.00000E+00 3.14483E-22
113 1.38657E-22 1.38709E-22 6.20150E-33 3.69901E-23 2.46308E-25 3.40908E-28 7.00000E-26 5.78986E-29 -1.90719E-25 0.00000E+00 3.14483E-22
114 1.38657E-22 1.38709E-22 6.20479E-33 3.69901E-23 2.46308E-25 3.41089E-28 7.00000E-26 5.79257E-29 -1.90719E-25 0.00000E+00 3.14482E-22
115 1.38657E-22 1.38709E-22 6.20807E-33 3.69901E-23 2.46308E-25 3.41270E-28 7.00000E-26 5.79529E-29 -1.90719E-25 0.00000E+00 3.14482E-22
116 1.38657E-22 1.38709E-22 6.21137E-33 3.69900E-23 2.46308E-25 3.41451E-28 7.00000E-26 5.79801E-29 -1.90719E-25 0.00000E+00 3.14482E-22
117 1.38657E-22 1.38709E-22 6.21466E-33 3.69900E-23 2.46308E-25 3.41633E-28 7.00000E-26 5.80073E-29 -1.90719E-25 0.00000E+00 3.14482E-22
118 1.38657E-22 1.38709E-22 6.21796E-33 3.69900E-23 2.46308E-25 3.41814E-28 7.00000E-26 5.80346E-29 -1.90719E-25 0.00000E+00 3.14481E-22
119 1.38657E-22 1.38709E-22 6.22126E-33 3.69900E-23 2.46308E-25 3.41996E-28 7.00000E-26 5.80618E-29 -1.90719E-25 0.00000E+00 3.14481E-22
120 1.38657E-22 1.38708E-22 6.22457E-33 3.69899E-23 2.46308E-25 3.42178E-28 7.00000E-26 5.80892E-29 -1.90719E-25 0.00000E+00 3.14481E-22
121 1.38657E-22 1.38708E-22 6.22767E-33 3.69899E-23 2.46308E-25 3.42349E-28 7.00000E-26 5.81148E-29 -1.90719E-25 0.00000E+00 3.14481E-22
