Time,Density,gasTemp,dustTemp,av,H2O ,H2  ,H   ,H+  ,HE+ ,C   ,C+  ,O   ,O+  ,CO  ,CO+ ,E-  
  4.318E+03, 1.0000E+03,  204.62,   45.87, 1.0240E-06, 1.032E-19, 4.046E-08, 1.000E+00, 1.777E-06, 1.633E-07, 1.176E-10, 1.000E-04, 3.000E-04, 2.160E-10, 3.620E-15, 4.826E-16, 1.069E-04
  4.418E+03, 1.0000E+03,  203.95,   45.87, 1.0240E-06, 1.053E-19, 4.047E-08, 1.000E+00, 1.816E-06, 1.667E-07, 1.178E-10, 1.000E-04, 3.000E-04, 2.199E-10, 3.623E-15, 4.831E-16, 1.070E-04
  4.518E+03, 1.0000E+03,  203.37,   45.87, 1.0240E-06, 1.071E-19, 4.048E-08, 1.000E+00, 1.855E-06, 1.700E-07, 1.180E-10, 1.000E-04, 3.000E-04, 2.239E-10, 3.626E-15, 4.834E-16, 1.070E-04
  4.618E+03, 1.0000E+03,  202.82,   45.87, 1.0240E-06, 1.087E-19, 4.048E-08, 1.000E+00, 1.895E-06, 1.733E-07, 1.182E-10, 1.000E-04, 3.000E-04, 2.279E-10, 3.628E-15, 4.837E-16, 1.071E-04
  4.718E+03, 1.0000E+03,  202.43,   45.87, 1.0240E-06, 1.102E-19, 4.049E-08, 1.000E+00, 1.934E-06, 1.765E-07, 1.183E-10, 1.000E-04, 3.000E-04, 2.320E-10, 3.630E-15, 4.840E-16, 1.071E-04
  4.818E+03, 1.0000E+03,  202.06,   45.87, 1.0240E-06, 1.113E-19, 4.049E-08, 1.000E+00, 1.973E-06, 1.798E-07, 1.184E-10, 1.000E-04, 3.000E-04, 2.362E-10, 3.632E-15, 4.842E-16, 1.072E-04
  4.918E+03, 1.0000E+03,  201.76,   45.87, 1.0240E-06, 1.124E-19, 4.050E-08, 1.000E+00, 2.012E-06, 1.830E-07, 1.186E-10, 1.000E-04, 3.000E-04, 2.404E-10, 3.634E-15, 4.844E-16, 1.072E-04
  5.018E+03, 1.0000E+03,  201.52,   45.87, 1.0240E-06, 1.133E-19, 4.050E-08, 1.000E+00, 2.051E-06, 1.862E-07, 1.187E-10, 1.000E-04, 3.000E-04, 2.446E-10, 3.635E-15, 4.846E-16, 1.072E-04
  5.118E+03, 1.0000E+03,  201.32,   45.87, 1.0240E-06, 1.140E-19, 4.050E-08, 1.000E+00, 2.089E-06, 1.894E-07, 1.188E-10, 1.000E-04, 3.000E-04, 2.489E-10, 3.636E-15, 4.847E-16, 1.073E-04
  5.218E+03, 1.0000E+03,  201.17,   45.87, 1.0240E-06, 1.145E-19, 4.051E-08, 1.000E+00, 2.128E-06, 1.926E-07, 1.189E-10, 1.000E-04, 3.000E-04, 2.533E-10, 3.637E-15, 4.848E-16, 1.073E-04
  5.318E+03, 1.0000E+03,  201.06,   45.87, 1.0240E-06, 1.150E-19, 4.051E-08, 1.000E+00, 2.167E-06, 1.958E-07, 1.190E-10, 1.000E-04, 3.000E-04, 2.577E-10, 3.637E-15, 4.849E-16, 1.074E-04
  5.418E+03, 1.0000E+03,  200.97,   45.87, 1.0240E-06, 1.153E-19, 4.051E-08, 1.000E+00, 2.206E-06, 1.989E-07, 1.190E-10, 1.000E-04, 3.000E-04, 2.622E-10, 3.637E-15, 4.850E-16, 1.074E-04
  5.518E+03, 1.0000E+03,  200.90,   45.87, 1.0240E-06, 1.156E-19, 4.051E-08, 1.000E+00, 2.244E-06, 2.020E-07, 1.191E-10, 1.000E-04, 3.000E-04, 2.666E-10, 3.638E-15, 4.850E-16, 1.074E-04
  5.618E+03, 1.0000E+03,  200.84,   45.87, 1.0240E-06, 1.158E-19, 4.051E-08, 1.000E+00, 2.283E-06, 2.051E-07, 1.192E-10, 1.000E-04, 3.000E-04, 2.711E-10, 3.638E-15, 4.850E-16, 1.075E-04
  5.718E+03, 1.0000E+03,  200.80,   45.87, 1.0240E-06, 1.159E-19, 4.051E-08, 1.000E+00, 2.321E-06, 2.082E-07, 1.192E-10, 1.000E-04, 3.000E-04, 2.756E-10, 3.638E-15, 4.851E-16, 1.075E-04
  5.818E+03, 1.0000E+03,  200.78,   45.87, 1.0240E-06, 1.161E-19, 4.051E-08, 1.000E+00, 2.360E-06, 2.113E-07, 1.193E-10, 1.000E-04, 3.000E-04, 2.801E-10, 3.638E-15, 4.851E-16, 1.076E-04
  5.918E+03, 1.0000E+03,  200.76,   45.87, 1.0240E-06, 1.161E-19, 4.051E-08, 1.000E+00, 2.398E-06, 2.144E-07, 1.193E-10, 1.000E-04, 3.000E-04, 2.846E-10, 3.638E-15, 4.851E-16, 1.076E-04
  6.018E+03, 1.0000E+03,  200.76,   45.87, 1.0240E-06, 1.162E-19, 4.051E-08, 1.000E+00, 2.437E-06, 2.174E-07, 1.194E-10, 1.000E-04, 3.000E-04, 2.892E-10, 3.638E-15, 4.851E-16, 1.077E-04
  6.118E+03, 1.0000E+03,  200.76,   45.87, 1.0240E-06, 1.162E-19, 4.051E-08, 1.000E+00, 2.475E-06, 2.204E-07, 1.194E-10, 1.000E-04, 3.000E-04, 2.937E-10, 3.638E-15, 4.851E-16, 1.077E-04
  6.218E+03, 1.0000E+03,  200.77,   45.87, 1.0240E-06, 1.162E-19, 4.051E-08, 1.000E+00, 2.513E-06, 2.234E-07, 1.195E-10, 1.000E-04, 3.000E-04, 2.982E-10, 3.638E-15, 4.851E-16, 1.077E-04
  6.318E+03, 1.0000E+03,  200.78,   45.87, 1.0240E-06, 1.162E-19, 4.051E-08, 1.000E+00, 2.552E-06, 2.264E-07, 1.195E-10, 1.000E-04, 3.000E-04, 3.028E-10, 3.638E-15, 4.851E-16, 1.078E-04
  6.418E+03, 1.0000E+03,  200.79,   45.87, 1.0240E-06, 1.161E-19, 4.051E-08, 1.000E+00, 2.590E-06, 2.294E-07, 1.195E-10, 1.000E-04, 3.000E-04, 3.073E-10, 3.638E-15, 4.851E-16, 1.078E-04
